Date,Open,High,Low,Close,Volume
2021-01-03,177.26,178.4,175.57,178.36,27217222
2021-01-10,181.97,183.21,171.48,173.34,77013793
2021-01-17,172.14,174.46,170.975,171.13,62183138
2021-01-24,172.71,175.51,171.92,173.9,31461494
2021-01-31,174.8199,175.1633,171.66,172.61,40304045
2021-02-07,175.02,175.26,167.34,169.81,41233913
2021-02-14,171.9799,173.22,169.88,170.69,30145598
2021-02-21,168.14,170.065,165.73,167.01,41958167
2021-02-28,168.54,169.89,160.95,161.81,67680500
2021-03-07,163.03,163.35,158.43,159.14,64251107
2021-03-14,158.58,161.98,157.1297,161.49,45837135
2021-03-21,162.305,164.15,161.11,163.24,43884900
2021-03-28,162.27,163.5799,161.32,162.24,32024427
2021-04-04,161.46,162.11,157.55,161.98,34491561
2021-04-11,161.52,164.77,161.36,163.27,31593401
2021-04-18,162.73,166.811,161.81,166.35,36513116
2021-04-25,165.91,168.39,165.62,166.4,35421508
2021-05-02,166.63,167.15,164.47,165.66,32398667
2021-05-09,167.6,172.5501,165.5,171.59,50779000
2021-05-16,172.74,172.84,170.225,172.69,47056102
2021-05-23,173.3,177,173.28,176.04,57471936
2021-05-30,176.15,178.61,175.87,178.38,41000942
2021-06-06,178.76,178.85,174.66,177.16,34285519
2021-06-13,176.96,177.9,175.48,175.74,37694492
2021-06-20,173.16,175.06,164.87,164.93,75180094
2021-06-27,166.52,168.03,165.97,166.59,38446217
2021-07-04,166.68,167.715,164.01,167.29,37220227
2021-07-11,169.27,169.855,167.54,169.21,27282632
2021-07-18,168.7,171.3,167.64,169.41,39166508
2021-07-25,169.53,170.8,167.95,168.56,28495072
2021-08-01,168.58,171.52,167.72,169.82,34947143
2021-08-08,169.3,171.4,164.55,164.64,47422817
2021-08-15,163.01,166.46,160.68,166.39,38489123
2021-08-22,166.73,167.73,166.16,166.7,36675335
2021-08-29,168.82,170.19,166.74,170.19,32706769
2021-09-05,169.66,171.55,168.75,171.06,27824270
2021-09-12,169.56,169.78,166.7,167.18,30651383
2021-09-19,167.45,169.16,163.233,163.77,39172201
2021-09-26,164.26,167.15,162.74,163.3,39915249
2021-10-03,163.85,164.96,160.97,164.59,39815910
2021-10-10,163.69,166.42,163.47,164.23,32663711
2021-10-17,164.04,168.22,163.91,165.33,34174497
2021-10-24,165.42,169.54,164.81,167.77,30756419
2021-10-31,168.66,169.25,165.64,166.65,31895905
2021-11-07,167.38,169.94,164.38,169.84,33816549
2021-11-14,170.43,174.67,170.06,174.45,36063582
2021-11-21,174.1,174.605,172.235,172.61,35861890
2021-11-28,169.9,170.44,166.32,166.85,36118530
2021-12-05,166.84,169.01,164.63,166.63,47257750
2021-12-12,166.14,167.08,165.65,166.58,25367657
2021-12-19,166.9,169.125,163.8,167.8,50533725
2021-12-26,167.88,169.16,166.74,168.97,20745528
2022-01-02,168.96,171.04,167.28,170.96,27664366
2022-01-09,168.86,170.93,166.86,167.75,43790203
2022-01-16,167.36,170.75,167.31,169.67,36576302
2022-01-23,169.6401,172.5999,169.09,171.09,45660517
2022-01-30,171.78,173.1499,166.365,167.1,76575260
2022-02-06,167.79,169.12,167.03,168.86,47658870
2022-02-13,169.45,174.2,169.19,173.81,58036643
2022-02-20,173.78,177.53,172.39,177.12,70402988
2022-02-27,177.67,182.6,175.27,176.55,70989623
2022-03-06,178.86,183.98,176.5,183.68,94963306
2022-03-13,184.45,193.3,183.44,185.09,135419062
